Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018
Kazakhstan,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,56
Kenya,56 000 ,41 000 , 86 000,50 000 ,36 000 , 76 000,44 000 ,32 000 , 67 000,40 000 ,29 000 , 62 000,40 000 ,29 000 , 61 000,38 000 ,27 000 , 57 000,32 000 ,23 000 , 49 000,28 000 ,20 000 , 43 000,25 000 ,18 000 , 38 000,-55
Kuwait,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,120
Kyrgyzstan,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,55
Lao People's Democratic Republic,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,-17
Latvia,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<100 ,<100 , <100,<100 ,<100 , <100,-65
Lebanon,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-8
Lesotho,7200 ,5600 , 10 000,6500 ,5000 , 9100,6500 ,5000 , 9300,7000 ,5400 , 9900,7300 ,5700 , 10 000,8200 ,6600 , 11 000,7900 ,6300 , 10 000,6800 ,5600 , 8800,6100 ,5000 , 7600,-16
Liberia,2700 ,2600 , 2900,2400 ,2300 , 2600,2300 ,2100 , 2500,2300 ,2100 , 2500,2300 ,2100 , 2500,2300 ,2100 , 2500,2400 ,2200 , 2500,2200 ,2000 , 2300,1800 ,1700 , 1900,-34
Libya,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,57
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Luxembourg,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-14
Madagascar,1400 ,1000 , 1700,1400 ,1100 , 1700,1400 ,1100 , 1700,1500 ,1200 , 1800,1500 ,1200 , 1900,1600 ,1200 , 2000,1600 ,1200 , 2000,1600 ,1200 , 2200,1700 ,1200 , 2300,22
Malawi,29 000 ,25 000 , 33 000,26 000 ,22 000 , 30 000,22 000 ,19 000 , 26 000,18 000 ,15 000 , 22 000,16 000 ,13 000 , 19 000,14 000 ,12 000 , 18 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,13 000 ,11 000 , 16 000,-55
Malaysia,2900 ,2400 , 3300,3000 ,2500 , 3500,3200 ,2700 , 3600,3500 ,3000 , 4000,3700 ,3200 , 4200,3600 ,3100 , 4100,3300 ,2700 , 3800,2700 ,2200 , 3300,2600 ,2100 , 3300,-9
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mali,5300 ,4100 , 6700,5000 ,3800 , 6400,4700 ,3600 , 6100,5300 ,3900 , 6900,6000 ,4400 , 7800,6500 ,4800 , 8400,6500 ,4900 , 8500,6500 ,5000 , 8600,6500 ,5000 , 8700,24
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mauritania,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,-25
Mauritius,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,25
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mongolia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,31
Montenegro,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,100
Morocco,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-40
Mozambique,64 000 ,46 000 , 87 000,64 000 ,46 000 , 87 000,66 000 ,47 000 , 89 000,66 000 ,48 000 , 90 000,65 000 ,47 000 , 88 000,59 000 ,42 000 , 80 000,56 000 ,40 000 , 76 000,55 000 ,39 000 , 74 000,54 000 ,39 000 , 73 000,-16
Myanmar,11 000 ,9600 , 13 000,11 000 ,9400 , 13 000,11 000 ,8800 , 13 000,10 000 ,8200 , 12 000,9800 ,7900 , 12 000,9500 ,7400 , 12 000,9000 ,6800 , 12 000,8400 ,6200 , 11 000,7800 ,5900 , 11 000,-30
Namibia,3500 ,3000 , 3900,3400 ,2900 , 3800,3000 ,2600 , 3400,2800 ,2500 , 3200,2600 ,2300 , 3000,2500 ,2200 , 3000,2600 ,2200 , 3000,2600 ,2200 , 3000,2700 ,2300 , 3200,-22
Nepal,1400 ,1200 , 1700,1400 ,1200 , 1700,1300 ,1100 , 1600,1300 ,1000 , 1500,1200 ,1000 , 1500,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,-37
